url,artist,name,chartMax,chartCount,danceability,energy,camelot,loudness,mode,speechiness,acousticness,instrumentalness,liveness,bpm,signature,duration,spotify,chartYear,popularity,release_date,image/height,image/url,image/width,songplay,n1
spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,1,65,0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,80.87,4,238805,TRUE,2022,86,8/6/2020,640,https://i.scdn.co/image/ab67616d0000b2739e495fb707973f3390850eea,640,https://p.scdn.co/mp3-preview/1ac449e52145d1c44dc4346afdb2d8b70e93969b?cid=774b29d4f13844c495f206cafdad9c86,Heat Waves
spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),1,37,0.591,0.764,1,-5.484,1,0.0483,0.0383,0,0.103,169.928,4,141806,TRUE,2022,85,7/23/2021,640,https://i.scdn.co/image/ab67616d0000b2738e6551a2944764bc8e33a960,640,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=774b29d4f13844c495f206cafdad9c86,STAY (with Justin Bieber)
spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Anitta,Envolver,3,3,0.812,0.736,4,-5.421,0,0.0833,0.152,0.0025,0.0914,91.993,4,193806,TRUE,2022,81,11/11/2021,640,https://i.scdn.co/image/ab67616d0000b27332f29a61d5e3c3bb3c7ae510,640,https://p.scdn.co/mp3-preview/784196314fb6965fbe3a326ff543c8dd6e944ab4?cid=774b29d4f13844c495f206cafdad9c86,Envolver
spotify:track:1HhNoOuqm1a5MXYEgAFl8o,"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,3,21,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,77.011,4,173381,TRUE,2022,38,9/3/2021,640,https://i.scdn.co/image/ab67616d0000b273d9b35d1c4d15c9de88b754a7,640,,Enemy (with JID) - from the series Arcane League of Legends
spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,1,19,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,121.932,4,168602,TRUE,2022,84,8/13/2021,640,https://i.scdn.co/image/ab67616d0000b2732842f743ebd32235bceb43d3,640,https://p.scdn.co/mp3-preview/83c53804d9a84bee1cca941679370f0541dd4ca2?cid=774b29d4f13844c495f206cafdad9c86,abcdefu
spotify:track:7rglLriMNBPAyuJOMGwi39,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,4,32,0.795,0.8,1,-6.32,1,0.0309,0.0354,0.0001,0.0915,116.032,4,202735,TRUE,2022,70,10/22/2021,640,https://i.scdn.co/image/ab67616d0000b273523458c391fe8180a19a1069,640,https://p.scdn.co/mp3-preview/f0fe18f93a65ac4abc573c2dfea006273139ead5?cid=774b29d4f13844c495f206cafdad9c86,Cold Heart - PNAU Remix
spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,"Becky G, KAROL G",MAMIII,5,6,0.843,0.7,4,-3.563,0,0.0803,0.0934,0,0.14,93.991,4,226088,TRUE,2022,83,2/10/2022,640,https://i.scdn.co/image/ab67616d0000b27372babf690675fe969470e8ee,640,https://p.scdn.co/mp3-preview/a2748f563c888258e379756cdc94922b9c7c9cde?cid=774b29d4f13844c495f206cafdad9c86,MAMIII
spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),2,35,0.741,0.691,10,-7.395,0,0.0672,0.0221,0,0.0476,150.087,4,212353,TRUE,2022,80,9/17/2021,640,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd,640,https://p.scdn.co/mp3-preview/31e16e1bc7aad79a7785b12d6f34421943080b5b?cid=774b29d4f13844c495f206cafdad9c86,INDUSTRY BABY (feat. Jack Harlow)
spotify:track:6mmPpaltUZK7xjNlBPQQ0p,"Rauw Alejandro, Chencho Corleone",Desesperados,8,15,0.869,0.694,1,-3.35,0,0.0783,0.356,0.0012,0.0878,90.02,4,224997,TRUE,2022,83,12/10/2021,640,https://i.scdn.co/image/ab67616d0000b273d9525f27b0a9e25b1fa21230,640,https://p.scdn.co/mp3-preview/b260f6e456d7fe4a3820da435eb33c981ea39079?cid=774b29d4f13844c495f206cafdad9c86,Desesperados
spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,4,28,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,141.02,4,207853,TRUE,2022,86,10/29/2021,640,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,640,https://p.scdn.co/mp3-preview/172691039b5878c61caa8079515b16b6ee91dcc9?cid=774b29d4f13844c495f206cafdad9c86,Shivers
spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,6,37,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.0029,0.117,107.998,4,172627,TRUE,2022,87,6/25/2021,640,https://i.scdn.co/image/ab67616d0000b2734df3245f26298a1579ecc321,640,https://p.scdn.co/mp3-preview/01b49a95f322c2c708b48e56a9da43777620af9b?cid=774b29d4f13844c495f206cafdad9c86,Woman
spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,1,23,0.604,0.366,5,-7.519,1,0.0282,0.578,0,0.133,141.981,4,224695,TRUE,2022,81,11/19/2021,640,https://i.scdn.co/image/ab67616d0000b273c6b577e4c4a6d326354a89f7,640,https://p.scdn.co/mp3-preview/3ca514309c910bb73a9e3ef8092306900af06fa6?cid=774b29d4f13844c495f206cafdad9c86,Easy On Me
spotify:track:6I3mqTwhRpn34SLVafSH7G,Justin Bieber,Ghost,11,27,0.601,0.741,2,-5.569,1,0.0478,0.185,0,0.415,153.96,4,153190,TRUE,2022,86,3/19/2021,640,https://i.scdn.co/image/ab67616d0000b273e6f407c7f3a0ec98845e4431,640,https://p.scdn.co/mp3-preview/0d9a9c01928559bfef66e7bbd03f9bce5f840284?cid=774b29d4f13844c495f206cafdad9c86,Ghost
spotify:track:0QBzMgT7NIeoCYy3sJCof1,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),13,3,0.756,0.697,8,-6.377,1,0.0401,0.182,0,0.333,94.996,4,206071,TRUE,2022,84,3/4/2022,640,https://i.scdn.co/image/ab67616d0000b273364ef5f9057092741f667fea,640,https://p.scdn.co/mp3-preview/c7d17a94330a3789118aa4d7a8823fcc1f049125?cid=774b29d4f13844c495f206cafdad9c86,Bam Bam (feat. Ed Sheeran)
spotify:track:58HvfVOeJY7lUuCqF0m3ly,Elley Duhé,MIDDLE OF THE NIGHT,14,13,0.41,0.611,4,-8.271,0,0.0467,0.0228,0,0.116,185.727,3,184448,TRUE,2022,88,1/10/2020,640,https://i.scdn.co/image/ab67616d0000b27353a2e11c1bde700722fecd2e,640,https://p.scdn.co/mp3-preview/01c7e5d3addb5c2f8535145f0136087836882525?cid=774b29d4f13844c495f206cafdad9c86,MIDDLE OF THE NIGHT
spotify:track:1O2pcBJGej0pmH2Y9XZMs6,Cris Mj,Una Noche en Medellín,16,4,0.87,0.548,10,-5.253,0,0.077,0.0924,0,0.0534,96.018,4,153750,TRUE,2022,87,1/21/2022,640,https://i.scdn.co/image/ab67616d0000b273697ed12671078b5dee48f0ad,640,https://p.scdn.co/mp3-preview/dfe61a7a42720eeb10aadaecdf6eaf1d4cf8e59f?cid=774b29d4f13844c495f206cafdad9c86,Una Noche en Medellín
