track_name,artist_name,artist_pop,album,track_pop,danceability,energy,loudness,mode,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,uri,popularity,release_date,image/height,image,image/width,songplay,url,n1
Running Up That Hill (A Deal With God),Kate Bush,81,Hounds Of Love,95,0.629,0.547,-13.123,0,10,0.055,0.72,0.00314,0.0604,0.197,108.375,4,298933,spotify:track:29d0nY7TzCoi22XBqDQkiP,82,1985-09-16,640,https://i.scdn.co/image/ab67616d0000b2735c390e413e27798edd4d18b4,640,https://p.scdn.co/mp3-preview/9f110dbdde66d0a4f3151a67dab5b1b61d6770c1?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:29d0nY7TzCoi22XBqDQkiP,Running Up That Hill (A Deal With God) - 2018 Remaster
As It Was,Harry Styles,91,As It Was,96,0.52,0.731,-5.338,0,6,0.0557,0.342,0.00101,0.311,0.662,173.93,4,167303,spotify:track:4LRPiXqCikLlN15c3yImP7,93,2022-03-31,640,https://i.scdn.co/image/ab67616d0000b273b46f74097655d7f353caab14,640,https://p.scdn.co/mp3-preview/c871f7a3b36ad708640a833fbf7a0b9e84c5b688?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4LRPiXqCikLlN15c3yImP7,As It Was
Sunroof,Nicky Youre,73,Sunroof,44,0.768,0.716,-5.11,1,10,0.0404,0.35,0,0.15,0.841,131.43,4,163026,spotify:track:4h4QlmocP3IuwYEj2j14p8,89,2021-12-03,640,https://i.scdn.co/image/ab67616d0000b2730ed2184bf3fb4466d623a874,640,https://p.scdn.co/mp3-preview/7c8b08cc640f6065a2daaf7d92ee49a640d8c4b8?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4h4QlmocP3IuwYEj2j14p8,Sunroof
Heat Waves,Glass Animals,80,Dreamland (+ Bonus Levels),89,0.761,0.525,-6.9,1,11,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,4,238805,spotify:track:3USxtqRwSYz57Ewm6wWRMp,81,2020-08-07,640,https://i.scdn.co/image/ab67616d0000b273712701c5e263efc8726b1464,640,https://p.scdn.co/mp3-preview/1ac449e52145d1c44dc4346afdb2d8b70e93969b?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Heat Waves
About Damn Time,Lizzo,81,About Damn Time,92,0.836,0.743,-6.305,0,10,0.0656,0.0995,0,0.335,0.722,108.966,4,191822,spotify:track:1PckUlxKqWQs3RlWXVBLw3,86,2022-04-14,640,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04,640,https://p.scdn.co/mp3-preview/1e881f08e10f2f8dbac20185389fdacb1ea42342?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:1PckUlxKqWQs3RlWXVBLw3,About Damn Time
Glimpse of Us,Joji,85,Glimpse of Us,97,0.44,0.317,-9.258,1,8,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3,233456,spotify:track:6xGruZOHLs39ZbVccQTuPZ,92,2022-06-10,640,https://i.scdn.co/image/ab67616d0000b27308596cc28b9f5b00bfe08ae7,640,https://p.scdn.co/mp3-preview/071c22f355ed0d03fdc176dcb25a487f5ffb661c?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:6xGruZOHLs39ZbVccQTuPZ,Glimpse of Us
Bad Habit,Steve Lacy,83,Gemini Rights,86,0.686,0.494,-7.093,1,1,0.0355,0.613,5.8e-05,0.402,0.7,168.946,4,232067,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,88,2022-07-15,640,https://i.scdn.co/image/ab67616d0000b27368968350c2550e36d96344ee,640,https://p.scdn.co/mp3-preview/b46cf3781e6cbe5bd01b8a81e333899c7f9cdfc5?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Bad Habit
STAY (with Justin Bieber),The Kid LAROI,83,STAY (with Justin Bieber),89,0.591,0.764,-5.484,1,1,0.0483,0.0383,0,0.103,0.478,169.928,4,141806,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,87,2021-07-09,640,https://i.scdn.co/image/ab67616d0000b27341e31d6ea1d493dd77933ee5,640,https://p.scdn.co/mp3-preview/40a8daf1f3cbb5c6363e68de859ba4af3377344c?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber)
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,88,Enemy (with JID) [from the series Arcane League of Legends],87,0.728,0.783,-4.424,0,11,0.266,0.237,0,0.434,0.555,77.011,4,173381,spotify:track:3CIyK1V4JEJkg02E4EJnDl,81,2022-07-01,640,https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,640,https://p.scdn.co/mp3-preview/6c8b19c6577e6cd15cac5dc5eb9aaccdb209a4bf?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:3CIyK1V4JEJkg02E4EJnDl,Enemy (with JID) - from the series Arcane League of Legends
First Class,Jack Harlow,84,First Class,89,0.905,0.563,-6.135,1,8,0.102,0.0254,9.71e-06,0.113,0.324,106.998,4,173948,spotify:track:0wHFktze2PHC5jDt3B17DC,82,2022-05-06,640,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,640,https://p.scdn.co/mp3-preview/ec2263e955b141e70aaa78b0817cf253e74224f8?cid=774b29d4f13844c495f206cafdad9c86,spotify:track:0wHFktze2PHC5jDt3B17DC,First Class
